stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BENA1,"Beaulieu",,47.20411813,-1.53718842,,,0,BENA,1
BENA2,"Beaulieu",,47.20394287,-1.53704358,,,0,BENA,1
BENA3,"Beaulieu",,47.20347912,-1.53476335,,,0,BENA,1
BENA4,"Beaulieu",,47.20368539,-1.53398533,,,0,BENA,1
BENA5,"Beaulieu",,47.20384859,-1.53716891,,,0,BENA,2
ABCH,"Abbé Chérel",,47.21010098,-1.65221959,,,1,,
ABDU,"Abel Durand",,47.22024715,-1.60339908,,,1,,
ABOL,"Adrienne Bolland",,47.26791335,-1.47684627,,,1,,
ACHA,"Angle Chaillou",,47.26986259,-1.57199068,,,1,,
ADBO,"Audubon",,47.21401606,-1.72323592,,,1,,
ADEL,"Aimé Delrue",,47.20899731,-1.55009787,,,1,,
ADPI,"Avenue des Pins",,47.25367844,-1.59766118,,,1,,
AECL,"Aéroclub",,47.15944975,-1.59813406,,,1,,
AEPO,"D2A - Aéroport",,47.15686225,-1.59741579,,,1,,
AESP,"Aérospatiale",,47.16135928,-1.58704949,,,1,,
AFRA,"Anatole France",,47.22392580,-1.57207157,,,1,,
AGBE,"L'Angebert",,47.14054089,-1.45576884,,,1,,
AGDR,"Angebardière",,47.16943260,-1.50522732,,,1,,
AGVI,"Angevinière",,47.24599501,-1.61164521,,,1,,
AIBU,"Airbus",,47.15798559,-1.59089584,,,1,,
AIGU,"Aiguillon",,47.25456226,-1.49652938,,,1,,
ALCH,"Champ de l'Alouette",,47.28282777,-1.58008630,,,1,,
ALDE,"Allende",,47.17525341,-1.62320432,,,1,,
ALNE,"Aulne",,47.27693730,-1.63907702,,,1,,
AMCA,"Armoricaine",,47.25827307,-1.64747915,,,1,,
AMER,"Américains",,47.23612591,-1.56820260,,,1,,
AMPE,"Ampère",,47.26076619,-1.55333274,,,1,,
ANGE,"Les Anges",,47.27529402,-1.63710197,,,1,,
ANTO,"Antons",,47.25759558,-1.62268887,,,1,,
APAV,"Apave",,47.22539944,-1.64741053,,,1,,
APER,"Ampère",,47.30218726,-1.50789091,,,1,,
APRE,"Ambroise Paré",,47.22889385,-1.60866390,,,1,,
AQUI,"Aquitaine",,47.20980261,-1.61486966,,,1,,
ARAG,"Arago",,47.30355064,-1.50481141,,,1,,
ARBO,"Arbois",,47.25863331,-1.58175331,,,1,,
ARCA,"Arcades",,47.21203639,-1.65355356,,,1,,
ARGO,"Argonautes",,47.30242198,-1.48182549,,,1,,
ARMO,"Armorique",,47.27147205,-1.44534382,,,1,,
AROR,"Armor",,47.23107086,-1.63183278,,,1,,
ATAR,"Antarès",,47.28171763,-1.45970027,,,1,,
AUCP,"La Chapelle Aulnay",,47.30814501,-1.54248265,,,1,,
AUFR,"L'Aufrère",,47.16804829,-1.52507017,,,1,,
AUGE,"Augé",,47.19496578,-1.51736648,,,1,,
AURR,"Aurore",,47.26539845,-1.58145537,,,1,,
AVEN,"Aveneaux",,47.23393311,-1.62979710,,,1,,
BABI,"Barbinière",,47.15985795,-1.48169668,,,1,,
BAGA,"Bagatelle",,47.24354938,-1.61992939,,,1,,
BAIE,"Babinière",,47.25925666,-1.54627740,,,1,,
BAIR,"Bel Air",,47.22580682,-1.55960903,,,1,,
BALI,"Balinière",,47.18598939,-1.55397615,,,1,,
BANS,"Bois des Anses",,47.24659645,-1.49503252,,,1,,
BARR,"La Barre",,47.30881395,-1.38257905,,,1,,
BAST,"Bastille",,47.17903610,-1.59693154,,,1,,
BATI,"Batignolles",,47.25560851,-1.52993977,,,1,,
BAUG,"Baugerie",,47.20378578,-1.52024833,,,1,,
BAVO,"Basse Orévière",,47.22040673,-1.65893741,,,1,,
BBON,"Boisbonne",,47.28686058,-1.50837641,,,1,,
BCES,"Bois Cesbron",,47.26104953,-1.62440007,,,1,,
BCGA,"Bd Charles Gautier",,47.22282066,-1.60715830,,,1,,
BCHE,"Basse Chênaie",,47.24147198,-1.50828681,,,1,,
